epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2119.79,0.43406,0.43199,1.02962,0.59839,0.51857,0.54894,0.39831,1.2989,1.95561,2.03803,0.000176094,0.000176094,0.000176094
87,2146.4,0.43328,0.4217,1.03645,0.60409,0.60179,0.56549,0.40788,1.27408,1.83692,2.04697,0.000165095,0.000165095,0.000165095
88,2178.33,0.43471,0.42233,1.03114,0.50939,0.59265,0.53921,0.39897,1.28185,1.91639,2.0513,0.000154096,0.000154096,0.000154096
89,2202.17,0.43559,0.43701,1.03816,0.62617,0.53251,0.53933,0.40416,1.27967,1.86617,2.0734,0.000143097,0.000143097,0.000143097
90,2225.09,0.42305,0.43626,1.03777,0.61308,0.5432,0.56467,0.41473,1.25672,1.89066,2.04397,0.000132098,0.000132098,0.000132098
91,2256.41,0.39495,0.35294,0.96501,0.65484,0.53926,0.55772,0.41368,1.27605,1.88981,2.08653,0.000121099,0.000121099,0.000121099
92,2280.25,0.38076,0.33536,0.94951,0.64004,0.57436,0.57116,0.41402,1.27365,1.87024,2.04982,0.0001101,0.0001101,0.0001101
93,2309.53,0.378,0.32095,0.94984,0.61871,0.5691,0.545,0.40359,1.27026,1.87365,2.0741,9.91012e-05,9.91012e-05,9.91012e-05
94,2332.68,0.37267,0.32255,0.94365,0.64191,0.52001,0.54519,0.40069,1.25508,1.93944,2.0492,8.81023e-05,8.81023e-05,8.81023e-05
95,2359.08,0.33427,0.28977,0.92081,0.60191,0.56943,0.55438,0.4053,1.28908,1.98363,2.10111,7.71034e-05,7.71034e-05,7.71034e-05
96,2389.36,0.34462,0.29581,0.93225,0.65101,0.56547,0.56197,0.41775,1.251,1.91928,2.07477,6.61045e-05,6.61045e-05,6.61045e-05
97,2413.96,0.33301,0.29125,0.91979,0.6409,0.57103,0.57472,0.42379,1.26557,1.93104,2.08543,5.51056e-05,5.51056e-05,5.51056e-05
98,2436.43,0.32626,0.2856,0.91763,0.63144,0.55697,0.57006,0.41674,1.27075,1.93347,2.08188,4.41067e-05,4.41067e-05,4.41067e-05
99,2458.97,0.31117,0.27326,0.90374,0.62052,0.55185,0.56632,0.41857,1.2737,1.95221,2.09492,3.31078e-05,3.31078e-05,3.31078e-05
100,2481.84,0.32781,0.27942,0.91355,0.6257,0.53149,0.56653,0.41478,1.26349,1.95851,2.08304,2.21089e-05,2.21089e-05,2.21089e-05
